"Txn Hash","Blockno","UnixTimestamp","Date Time (UTC)","Action","Amount (Out)","Token (Out)","Amount (In)","Token (In)","Swapped Rate","Swapped Pair","DEX"
"0xb117f2d9744d503fede2e4f6b5686133f402ebd0067e4883576a550952895404","16747499",1677840575,2023-03-03 10:49:35,Sell,0.01276348, COMP, 0.6, USDT,47.00912290,USDT per COMP,Airswap v2
"0x3d56fdba97ca45e3e422c128f465694504f6eb88c262d938a65a8c012ff2e6f0","16775234",1678177655,2023-03-07 08:27:35,Sell,1000, GENII, 200, USDT,0.20000000,USDT per GENII,Airswap v2
"0xe232958bec3adad7ac40c92b73db553ec8cb81f856ce8b5d8fae0b3faf632230","16776261",1678190135,2023-03-07 11:55:35,Buy,0.125, WETH, 113, GAL,0.00110619,WETH per GAL,Airswap v2
"0xd7b258fc46608ba402c99c583660930d3dcd44e05321b7240832aa79dba8f22a","16777371",1678203587,2023-03-07 15:39:47,Sell,30000, GENII, 6000, USDC,0.20000000,USDC per GENII,Airswap v2
"0x682a78a8fcabc2653ebe0b9d38748e22deda55130ee07d4e02c0987dd16b4d47","16789205",1678347419,2023-03-09 07:36:59,Sell,44050, DEXTF, 5400, USDT,0.12258797,USDT per DEXTF,Airswap v2
"0x60b1c18f1eb9563e1868ebf09228c56ec26b32fa3b6266ddfa70501afe16da37","16789682",1678353191,2023-03-09 09:13:11,Swap,1, USDC, 1, USDC,1.00000000,USDC per USDC,Airswap v2
"0x1328259e20101193c71a28cb81e294ca2e3d29cefb818813d4c0db34025a63b9","16813998",1678648967,2023-03-12 19:22:47,Sell,750, ALL, 0.79, WETH,0.00105333,WETH per ALL,Airswap v2
"0x9122fda4078dd89b7e6f27e142012b5a6203e0b22d857e508ec78c9292ada28f","16824129",1678771907,2023-03-14 05:31:47,Sell,34.14, SNX, 100, USDC,2.92911541,USDC per SNX,Airswap v2
"0x9aad01943f2bda3a05a062f786f0bfea18046260d6e3960a8bcee5056628910f","16824205",1678772831,2023-03-14 05:47:11,Sell,1706741.76, SNX, 4999900, USDC,2.92950001,USDC per SNX,Airswap v2
"0x803c16f71b31693723ab973d5374d897107f296cb5200764fb1f22ad9d0a4e97","16831271",1678858631,2023-03-15 05:37:11,Sell,1701374.71, SNX, 5000000, USDC,2.93880000,USDC per SNX,Airswap v2
"0x3e617a879196642c5f949a912f72c0f114d82048354aa04941492f63d0ed7686","16832763",1678876787,2023-03-15 10:39:47,Sell,100000, BLT, 5000, USDT,0.05000000,USDT per BLT,Airswap v2
"0x5f4c87895c76618ee55aa62db0e23bbfd6a2af9840fcbe5b52fdc9c042b31d0b","16838055",1678941107,2023-03-16 04:31:47,Sell,2028809.09, SNX, 5000000, USDC,2.46450000,USDC per SNX,Airswap v2
"0xb93a73ac3d5b2db63722be1680dbf22fdbbdf7294d1efb6e5c7cf14b3fccf3b3","16898977",1679680511,2023-03-24 17:55:11,Buy,13000, USDT, 1500000, BSN,0.00866667,USDT per BSN,Airswap v2
"0x6735dd7ab8eaf2c2cf31f21f1dbdd3971737037c4d72f3cc46e5fe7d41d281c4","16899843",1679690999,2023-03-24 20:49:59,Sell,10, DELTA rLP, 0.37, WETH,0.03700000,WETH per DELTA rLP,Airswap v2
"0xc18af49f593e3e22006facb6fe17f870c7c6f38fe4af7fe3f557d4ade8de636e","16906036",1679766227,2023-03-25 17:43:47,Sell,16.6, DELTA rLP, 996, DAI,60.00000000,DAI per DELTA rLP,Airswap v2
"0xd3b32208caad0828cc610e00a0ac47b4f0eafbe4b15624925c7cc85c4d14f2c8","16909358",1679806499,2023-03-26 04:54:59,Sell,100, DELTA rLP, 6300, USDC,63.00000000,USDC per DELTA rLP,Airswap v2
"0xcfb1b0af7045ac6965a71c7d3bbddea3faff04f8ceae1a4a044813d8fb7291f0","16921627",1679955371,2023-03-27 22:16:11,Sell,90, DELTA rLP, 5500, DAI,61.11111111,DAI per DELTA rLP,Airswap v2
"0x1ac947278e3535d7ced8b691cba5bfe79891127bc4007dd06eae6b1acf8f5491","16921646",1679955599,2023-03-27 22:19:59,Buy,7300, USDT, 850841, BSN,0.00857975,USDT per BSN,Airswap v2
